ball,score,commentary,second_commentary
19.5,4,"Sams to Hardik, FOUR runsA thick edge and that's all that India needed! India take a thriller and the series 2-1. Sams continues going for that wide full ball. This time Pandya gets some bat on it and the ball scoots past short third, who can do nothing. It was always going to be a gamble, but that line was tricky.See all photos","Daniel Sams to Hardik Pandya, FOUR, they were bowling wide yorkers to Hardik almost all series, but Hardik cleverly opened the bat face and sliced this fine with one hand to get it fine and send it to the left of short third man. India get a tight win, the kind of wins Rohit wants his team to get before the World Cup"
19.4,•,"Sams to Hardik, no runLength ball outside off, Pandya has taken an off stump guard, and steps across. So that despite being outside the tramline wasn't called a wide.","Daniel Sams to Hardik Pandya, no run, way outside off stump, no called a wide. Brave call from umpire Nitin Menon. He reckons Hardik moved off-side. Precious dot"
19.3,1,"Sams to Karthik,  1 runLength ball outside off, he mistimes his loft to long off.","Daniel Sams to Karthik, 1 run, slower delivery outside off stump, Karthik mistimes the drive to long-off"
19.2,W,"Sams to Kohli, OUTThis match continues to get interesting!  Back of a length outside off, Kohli drills it but can only hit it straight to extra cover where Finch holds onVirat Kohli c Finch b Sams 63 (48b 3x4 4x6 89m) SR: 131.25","Daniel Sams to Kohli, out Caught by Finch!! Smasheddd oh straight to Finch at extra-cover. The momentum of that shot pushing Finch back after completion of the catch. Short and wide, smack me ball, Kohli muscled it off the back foot but found Finch. Played a great hand anyway. ""DK, DK"" chants begin as he walks in. Kohli c Finch b Daniel Sams 63(48) [4s-3 6s-4]"
19.1,6,"Sams to Kohli,  SIX runsThat goes high and into the stands! Slower ball on off, Kohli frees his arms and absolutely pummels it over wide long on for a massive six!","Daniel Sams to Kohli, SIX, slower ball, but it's in the slot and Kohli has a mighty swing over long-on. Lot of air time and the crowd find their voices again. Green troubled every Indian batter and is having a brilliant game, but Finch went the old-school way"
18.6,1,"Hazlewood to Kohli,  1 runLow full toss on off, he gets deep in his crease slams the flick but can't beat deep midwicket","Hazlewood to Kohli, 1 run, low full toss, flicked to deep mid-wicket, not enough to pierce the field"
18.5,2,"Hazlewood to Kohli,  2 runsLength outside off, Kohli drills the cover drive and that is going for a four for all money. But Maxwell puts it an terrific dive and saves two.","Hazlewood to Kohli, 2 runs, creamed cover drive as Hazlewood overpitches outside off, stunning dive at deep cover from Maxi to save a certain boundary. Two crucial runs saved"
18.4,•,"Hazlewood to Kohli, no runIn the slot, Kohli steps across to swat it over long on, but misses. Ooh, that was a big delivery and there to be hit.","Hazlewood to Kohli, no run, beaten! That was right in the slot for a mighty heave, Virat tried, but went too square and missed the ball"
18.3,•,"Hazlewood to Kohli, no runYorker outside off, Kohli misjudges thinking that was going wide. Shoulders arms, but that was just inside the tramline.","Hazlewood to Kohli, no run, oh he has let this go thinking it will be a wide but it's well inside the line"
18.2,1,"Hazlewood to Hardik,  1 runYorker on point outside off, he digs it to long off and they settle for a run","Hazlewood to Hardik Pandya, 1 run, wide yorker, squeezed out wide of extra-cover, call for two but has to settle for one"
18.1,6,"Hazlewood to Hardik,  SIX runsSHOT! Low full toss outside off, he takes a step across and tonks it just over the leaping long on. All whippage!","Hazlewood to Hardik Pandya, SIX, what a shot on the move! Hardik moved across to the off-side, Hazlewood tried to follow him with a yorker, bowled a low full toss. How Hardik timed that low full toss flat to clear Tim David's jump at long-off, only he knows"
17.6,2,"Cummins to Kohli,  2 runsLow full toss outside off, he lifts it to the left of deep cover and gets a couple of runs.","Cummins to Kohli, 2 runs, low full toss, Kohli slices it over cover and it's just wide of the man in the deep for two"
17.5,1,"Cummins to Hardik,  1 runYorker outside off, jammed to point. They still take a single.","Cummins to Hardik Pandya, 1 run, back to bowling wide yorkers for Hardik, squeezed to backward point"
17.5,1,"Cummins to Hardik,  1 runYorker outside off, jammed to point. They still take a single.","Cummins to Kohli, 2 wides, short, slow and too high says the ump, awkward bounce for Wade and he fumbles to allow an extra run"
